,title,price,year,link,category,age
48,wood woven seat small rocking chair,10,,https://charlottesville.craigslist.org/fuo/d/troy-wood-woven-seat-small-rocking-chair/7876421200.html,chair,
49,"rattan swivel, gliding rocker, recline chair",125,,https://charlottesville.craigslist.org/fuo/d/troy-rattan-swivel-gliding-rocker/7906320708.html,chair,
50,small drop leaf table (2) chairs,50,,https://charlottesville.craigslist.org/fuo/d/troy-small-drop-leaf-table-chairs/7889737047.html,table,
51,ladder back chair,15,,https://charlottesville.craigslist.org/fuo/d/troy-ladder-back-chair/7900361874.html,chair,
52,small heavy straight back school type chair/land nod mfg,15,,https://charlottesville.craigslist.org/fuo/d/troy-small-heavy-straight-back-school/7910595972.html,missing,
53,2 metal frame design top/fabric seats chairs,15,,https://charlottesville.craigslist.org/fuo/d/troy-metal-frame-design-top-fabric/7886573861.html,chair,
54,2 wood dining chairs,20,,https://charlottesville.craigslist.org/fuo/d/troy-wood-dining-chairs/7910237983.html,chair,
55,2 black decorative leaf design back bar chairs,20,,https://charlottesville.craigslist.org/fuo/d/troy-black-decorative-leaf-design-back/7911103073.html,chair,
56,ethan allen desk,150,,https://charlottesville.craigslist.org/fuo/d/charlottesville-ethan-allen-desk/7910630653.html,desk,
57,drop leaf table,50,,https://charlottesville.craigslist.org/fuo/d/troy-drop-leaf-table/7895917913.html,table,
58,wood server drop leaves,40,,https://charlottesville.craigslist.org/fuo/d/troy-wood-server-drop-leaves/7900361774.html,missing,
59,end/side/coffee table drop leaf,20,,https://charlottesville.craigslist.org/fuo/d/troy-end-side-coffee-table-drop-leaf/7900988219.html,table,
60,arm dining chairs (11),5,,https://charlottesville.craigslist.org/fuo/d/troy-arm-dining-chairs-11/7881034616.html,chair,
61,vintage wood carving settee,150,,https://charlottesville.craigslist.org/fuo/d/troy-vintage-wood-carving-settee/7886393130.html,missing,
62,dresser (4) drawers,30,,https://charlottesville.craigslist.org/fuo/d/troy-dresser-drawers/7881355136.html,dresser,
63,"beautiful design 42"" round rug backing",20,,https://charlottesville.craigslist.org/fuo/d/troy-beautiful-design-42-round-rug/7875431742.html,missing,
64,"rug 13' 1/2"" x 9' 3"" plus  padding",125,,https://charlottesville.craigslist.org/fuo/d/troy-rug-9-plus-padding/7875763896.html,missing,
65,large wall sconce (black),250,,https://charlottesville.craigslist.org/fuo/d/charlottesville-large-wall-sconce-black/7903382148.html,missing,
66,wood cabinet,50,,https://charlottesville.craigslist.org/fuo/d/earlysville-wood-cabinet/7912480094.html,cabinet,
67,steelcase file cabinets,225,,https://charlottesville.craigslist.org/fuo/d/charlottesville-steelcase-file-cabinets/7912474967.html,cabinet,
68,kurdish persian oriental rug runner,400,,https://charlottesville.craigslist.org/fuo/d/lexington-kurdish-persian-oriental-rug/7912468986.html,missing,
69,"mcm rare vintage bamboo folding plant ladder stand, mcm bookshelf",195,,https://charlottesville.craigslist.org/fuo/d/charlottesville-mcm-rare-vintage-bamboo/7872590674.html,missing,
70,"super sac, foot stool, and blanket",350,,https://charlottesville.craigslist.org/fuo/d/charlottesville-super-sac-foot-stool/7906533358.html,missing,
71,small wood table with 2 chairs,30,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-small-wood-table/7905320982.html,table,
72,large oak rocking chair for sale,95,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-large-oak-rocking/7905114541.html,chair,
73,"29"" high / bar chairs for sale both for $100.00",100,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-29-high-bar-chairs/7878577180.html,chair,
74,"roveconcept hugo sectional, black, left-hand-facing, chrome",1900,,https://charlottesville.craigslist.org/fuo/d/charlottesville-roveconcept-hugo/7912447793.html,missing,
75,light pink vanity,125,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-light-pink-vanity/7900254613.html,missing,
76,light pink vanity,90,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-light-pink-vanity/7897804698.html,missing,
77,light pink vanity,125,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-light-pink-vanity/7896333270.html,missing,
